[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[02:05:28 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7773458140d42e9e1a857db404583ba30857dedb0fdbadb5b9811eb1ee66566e
[02:08:31 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[02:08:34 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:17 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7b4f5efa5aa0ca143b1c7d5414ca3f696c26db40675c21e2fcd7d7598de2d891
[09:15:29 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50cb82caf4b38c17f749b11776be06fb205bf9dbaa61acd3cd99ae8eb724decf
[09:18:36 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:18:44 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:01 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x38a898d9736d5ba99f6fc98bd57789c41080116792ec6d691f442cc2e70b4b0c
[09:15:13 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6de88d4f0f70462151b8a22b7b19e34fbd733974225b4d85cd5adfd2ffcac849
[09:18:16 | 14-02-2025] Transfer Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:18:19 | 14-02-2025] Bridge Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[06:28:07 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xeb8c7eb68166f323846cd2e354116effd6eac30f8984a93afe7f43b0d16abb8b
[06:28:25 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xf07b893a6f6906c3794fb18b02b9d025bc96aeea56e27870c803b9fc09f90de7
[06:31:28 | 15-02-2025] Transfer Task successful for 0x8cCfcc34dCBf4896ec79837001488646045Ba3c7
[06:31:31 | 15-02-2025] Bridge Task successful for 0x8cCfcc34dCBf4896ec79837001488646045Ba3c7
[09:10:30 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x5848af748e2cee4175726638da6923e70403cb74c1dde22118b2f02698efbe67
[09:10:37 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x10f46c575634d283fe2210f1c39758b01a07b14451986cddca4bfbcfc8bf01cc
[09:13:41 | 15-02-2025] Transfer Task successful for 0x8cCfcc34dCBf4896ec79837001488646045Ba3c7
[09:13:43 | 15-02-2025] Bridge Task successful for 0x8cCfcc34dCBf4896ec79837001488646045Ba3c7
[09:17:42 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x3a95cb1ca9bc511758a2051ab214f5d467cb93a6536e14127ab69f764e7d48f2
[09:17:49 | 16-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x57169c7a5d58796fb94d4ade63e2326246cf340b9b8d2e735c4171d05c4162a6
